公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
理想汽车,理想汽车,民营企业,2000人以上,软件/互联网/汽车/机械/制造/游戏,8872,北京,北京,1
白云山,白云山和黄中药,外资企业,500-2000人,制药/健康/医疗/生物,190,广东,广州,1
百丽,百丽,民营企业,500-2000人,软件/互联网/快消/百货/零售/批发/游戏,37,广东/四川,四川/深圳,3
百丽,百丽国际,民营企业,2000人以上,百货/快消/批发/零售,42,广东,深圳,3
百丽,百丽新零售,民营企业,2000人以上,游戏/软件/互联网,99,广东省,深圳市,3
百信银行,百信银行,股份制企业,500-2000人,互联网/游戏/软件,52,北京,北京,2
百威英博,百威,外资企业,500-2000人,百货/快消/批发/零售,200,广东/河南/湖北,广州/郑州/武汉,2
百威英博,百威英博,外资企业,500-2000人,快消/百货/批发/零售,22,上海市,,2
百度/百度书城/百度智能云,百度,外资企业,2000人以上,游戏/软件/互联网,61,北京,北京,4
百思特,百思特赛乐,民营企业,50-150人,快消/百货/批发/零售,4,广东,深圳,2
百济神州-U,百济神州,民营企业,2000人以上,制药/健康/医疗/生物,81,全国,,1
百胜,百胜中国-Lavazza意百咖啡,股份制企业,2000人以上,餐饮/酒店/旅游/娱乐,23,上海,上海,4
百胜,百胜餐饮,外资企业,2000人以上,酒店/娱乐/餐饮/旅游,92,广东,深圳,4
盈峰环境,盈峰环境,民营企业,2000人以上,化工/能源/环保,5,广东,佛山,1
盈峰环境,盈峰环境-盈合城市服务,股份制企业,2000人以上,化工/能源/环保,53,广东,佛山,1
省广,省广博,外资企业,150-500人,公关/传媒/展览/广告,115,广东省,广州市,4
省广,省广汽车营销,民营企业,150-500人,广告/传媒/公关/展览,2,广东,广州,4
省广,省广集团,股份制企业,2000人以上,公关/传媒/展览/广告,100,上海市/广东省,市辖区/广州市,4
睦星科技,睦星科技,民营企业,15-50人,通信/电子/硬件,58,北京,北京,1
碧桂园/碧桂园控股,碧桂园,民营企业,2000人以上,房产/家居/物业/建筑,12,广东,东莞市,4
碧桂园,碧桂园·顺茵公司,民营企业,2000人以上,物业/家居/房产/建筑,30,广东,佛山,1
碧桂园,碧桂园农业 ,民营企业,2000人以上,农林牧渔/其他,6,广东,佛山,1
碧桂园,碧桂园商业,民营企业,2000人以上,物业/家居/房产/建筑,235,全国,,1
碧桂园,碧桂园服务,外资企业,2000人以上,物业/家居/房产/建筑,24,广东,江门,1
碧桂园,碧桂园集团 ,民营企业,2000人以上,物业/家居/房产/建筑,601,广东省,佛山市,1
神州控股,神州控股,股份制企业,2000人以上,电子/通信/硬件,9,北京,北京,1
